errorNum	errorId	userId	filename	errorType	delay	row	occurredTimestamp	displayedTimestamp	solvedTimestamp	detailFirstOpenedTimestamp	detailLastOpenedTimestamp	solved	displayed	detailOpened	errorDuration	displayedDuration	classActiveDuration	firstDetailToSolvedDuration	lastDetailToSolvedDuration	detailOpenedDelay	updatedCount	setCursorCount	detailOpenedCount	classActivatedCount
2892	173994815	0_21_93_34_30_0_16	Pit.java	field is never used	60000	7	1518774330480	1518774423523	1518774451170	0	0	true	true	false	120690	27647	87647	0	0	0	3	0	0	3
1213	-352422183	24_102_38_44_43_62_15	Pit.java	field is never used	60000	5	1518687491839	0	1518687492682	0	0	true	false	false	843	0	843	0	0	0	1	0	0	1
5741	1299591409	52_23_21_52_80_65_16	Pit.java	field is never used	60000	15	1518787954713	0	1518787955969	0	0	true	false	false	1256	0	1256	0	0	0	1	0	0	1
2610	-1079223289	52_23_21_52_33_116_15	Pit.java	parameter is never used	30000	19	1518703391611	0	1518703393095	0	0	true	false	false	1484	0	1484	0	0	0	1	0	0	1
2277	644805425	52_23_21_52_25_127_15	Pit.java	field is never used	60000	10	1518702027302	1518702107870	1518702156290	0	0	true	true	false	128988	48420	108420	0	0	0	2	0	0	5
3218	-964154302	0_21_93_34_35_0_16	Pit.java	field is never used	60000	39	1518774583198	0	1518774585251	0	0	true	false	false	2053	0	2053	0	0	0	1	0	0	1
5742	1299591409	52_23_21_52_80_65_16	Pit.java	field is never used	60000	15	1518787956923	0	1518787960596	0	0	true	false	false	3673	0	3673	0	0	0	1	0	0	1
240	1173474691	0_21_93_34_29_0_15	Pit.java	field is never used	60000	3	1518687848402	0	1518687848884	0	0	true	false	false	482	0	482	0	0	0	1	0	0	1
1851	-1904371679	52_23_21_52_19_45_15	Config.java	field is never used	60000	32	1518704800102	0	1518704800570	0	0	true	false	false	468	0	468	0	0	0	1	0	0	1
1694	-1722829502	52_23_21_52_18_38_15	Pit.java	field is never used	60000	25	1518702588923	0	1518702589532	0	0	true	false	false	609	0	609	0	0	0	1	0	0	1
